v	Issue	link	crate	category	opened	state	year	month
#1078	UDP - IO Error when EDNS max payload is larger then 2048	https://github.com/bluejekyll/trust-dns/issues/1078	resolver	protocol	4/24/2020	closed	2020	4
#1085	Can't resolve internal host name via IPv4	https://github.com/bluejekyll/trust-dns/issues/1085	resolver	logic	4/27/2020	closed	2020	4
#1131	Error parsing resolve.conf	https://github.com/bluejekyll/trust-dns/issues/1131	resolver	logic	6/7/2020	open	2020	6
#1138	Parsing EDNS OPT fails with zero length option	https://github.com/bluejekyll/trust-dns/issues/1138	proto	logic	6/19/2020	closed	2020	6
#1187	Can not query Glue Records with Resolver	https://github.com/bluejekyll/trust-dns/issues/1187	resolver	protocol	8/11/2020	closed	2020	8
#1221	queries for SOA improperly identify as empty responses even when the SOA is present	https://github.com/bluejekyll/trust-dns/issues/1221	resolver	protocol	9/28/2020	open	2020	9
#1232	"non NoError responses should have been converted to an error above" panic when querying SOA of a non-existent domain	https://github.com/bluejekyll/trust-dns/issues/1232	resolver	logic	10/5/2020	closed	2020	10
#1277	client: AXFR not return all records	https://github.com/bluejekyll/trust-dns/issues/1277	client	protocol	11/8/2020	open	2020	11
#1283	CNAME loops throws off the server	https://github.com/bluejekyll/trust-dns/issues/1283	server	logic	11/11/2020	open	2020	11
#1331	CNAME TTL handling is broken when `LookupIpStrategy::Ipv4AndIpv6` or `LookupIpStrategy::Ipv6thenIpv4`	https://github.com/bluejekyll/trust-dns/issues/1331	resolver	logic	12/28/2020	open	2020	12
#1342	Wildcards match only one label	https://github.com/bluejekyll/trust-dns/issues/1342	server	protocol	1/10/2021	open	2021	1
